cityName,cinemaName,movieName,hallName,showTime,showEndTime,language,dim,sellPrice,meetingType,meetingInfo,meetingName,sellTime,showSaleStatus
"北京","北京剧院","绿鱼 4K","大剧场4K激光厅","1745132400000","1745139000000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京剧院","天空的另一面 4K","大剧场4K激光厅","1745145000000","1745150160000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京剧院","光之幻影 4K","大剧场4K激光厅","1745152200000","1745156940000","原版","2D","70.0",0,,"","1744603200000",3
"北京","北京剧院","巴黎夏日","大剧场4K激光厅","1745231400000","1745236020000","原版","2D","70.0",0,,"","1744603200000",3
"北京","北京剧院","家宴","大剧场4K激光厅","1745238000000","1745244300000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京剧院","共同的语言","大剧场4K激光厅","1745317800000","1745323140000","原版","2D","70.0",0,,"","1744603200000",3
"北京","北京剧院","前进，神军！","大剧场4K激光厅","1745325000000","1745332200000","原版","2D","70.0",0,,"","1744603200000",3
"北京","北京剧院","误发弹 4K","大剧场4K激光厅","1745403000000","1745409420000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京剧院","手提箱女郎 4K","大剧场4K激光厅","1745411400000","1745418660000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京剧院","缅甸的竖琴 4K","大剧场4K激光厅","1745488800000","1745495760000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京剧院","梦","大剧场4K激光厅","1745497800000","1745504400000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京剧院","让子弹飞","大剧场4K激光厅","1745557200000","1745565120000","原版","2D","100.0",0,,"","1745380800000",0
"北京","北京剧院","民警故事 4K","大剧场4K激光厅","1745567400000","1745573520000","原版","2D","80.0",0,,"","1745380800000",0
"北京","北京剧院","三女性 4K","大剧场4K激光厅","1745575200000","1745582580000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京剧院","秋日何时来","大剧场4K激光厅","1745585100000","1745591220000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京剧院","千禧曼波 4K","大剧场4K激光厅","1745634600000","1745640960000","原版","2D","80.0",0,,"","1745380800000",0
"北京","北京剧院","利益区域 4K","大剧场4K激光厅","1745643600000","1745649900000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京剧院","桑比赞加 4K","大剧场4K激光厅","1745652600000","1745658480000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京剧院","侠盗猎车哈姆雷特","大剧场4K激光厅","1745663400000","1745668740000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京剧院","弗里达的审判 4K","大剧场4K激光厅","1745670600000","1745677020000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京剧院","纳维","大剧场4K激光厅","1745728200000","1745734440000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京剧院","从电影起航的BAUS剧场","大剧场4K激光厅","1745737200000","1745744160000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京剧院","纳什维尔 4K","大剧场4K激光厅","1745748000000","1745757600000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京剧院","大卫·林奇短片集+原初影像：大卫·林奇","大剧场4K激光厅","1745759700000","1745764380000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","西北偏北 4K","4号4K激光CINITY巨幕厅","1744974000000","1744982160000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","加州分裂 4K","4号4K激光CINITY巨幕厅","1745038800000","1745045280000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","三女性 4K","4号4K激光CINITY巨幕厅","1745047800000","1745055180000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","森林边缘的寂寞 4K","4号4K激光CINITY巨幕厅","1745058600000","1745064360000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","银幕的魔术师 4K","4号4K激光CINITY巨幕厅","1745066400000","1745071740000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","婚礼 4K","4号4K激光CINITY巨幕厅","1745115600000","1745123100000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","希林公主","4号4K激光CINITY巨幕厅","1745125200000","1745131020000","原版","2D","70.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","海边电影院","4号4K激光CINITY巨幕厅","1745133000000","1745143740000","原版","2D","70.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","星际宝贝","7号杜比全景声巨幕厅","1745134200000","1745139480000","原版","2D","70.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","翼 4K","4号4K激光CINITY巨幕厅","1745145600000","1745150700000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","再见，旧时光 4K","4号4K激光CINITY巨幕厅","1745152800000","1745158680000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","木乃伊 4K","4号4K激光CINITY巨幕厅","1745213400000","1745220900000","原版","2D","70.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","细细的红线 4K","4号4K激光CINITY巨幕厅","1745222400000","1745232660000","原版","2D","100.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","死亡论文 4K","4号4K激光CINITY巨幕厅","1745235000000","1745242440000","原版","2D","70.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","我的甜蜜家园 4K","4号4K激光CINITY巨幕厅","1745317800000","1745323980000","原版","2D","80.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","德古拉","4号4K激光CINITY巨幕厅","1745326800000","1745331240000","原版","2D","70.0",0,,"","1744603200000",3
"北京","北京英嘉国际影城（金源CINITY店）","光之幻影 4K","4号4K激光CINITY巨幕厅","1745391600000","1745396340000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","末路狂奔","4号4K激光CINITY巨幕厅","1745402400000","1745409000000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","破果","4号4K激光CINITY巨幕厅","1745410800000","1745418300000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","去了解 4K","4号4K激光CINITY巨幕厅","1745475600000","1745484840000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","窃听大阴谋 4K","4号4K激光CINITY巨幕厅","1745487000000","1745493780000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","无耻混蛋","4号4K激光CINITY巨幕厅","1745496000000","1745505180000","原版","2D","120.0",0,,,"1744603200000",2
"北京","北京英嘉国际影城（金源CINITY店）","误发弹 4K","4号4K激光CINITY巨幕厅","1745557200000","1745563620000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","雪花莲节 4K","4号4K激光CINITY巨幕厅","1745566200000","1745571420000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","绿鱼 4K","4号4K激光CINITY巨幕厅","1745577000000","1745583600000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","魔鬼银爪 4K","4号4K激光CINITY巨幕厅","1745585400000","1745590980000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","早餐俱乐部 4K","4号4K激光CINITY巨幕厅","1745634600000","1745640420000","原版","2D","80.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","漫长的告别","4号4K激光CINITY巨幕厅","1745643600000","1745650320000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","破浪","4号4K激光CINITY巨幕厅","1745652600000","1745661720000","原版","2D","100.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","汉斯·季默与朋友们：沙漠之钻 音乐会 4K","4号4K激光CINITY巨幕厅","1745665200000","1745674680000","英语","2D","150.0",0,,"","1744862400000",1
"北京","北京英嘉国际影城（金源CINITY店）","让子弹飞","4号4K激光CINITY巨幕厅","1745676600000","1745684520000","原版","2D","100.0",0,,"","1745380800000",0
"北京","北京英嘉国际影城（金源CINITY店）","安娜的旅程 4K","4号4K激光CINITY巨幕厅","1745730000000","1745737620000","原版","2D","70.0",0,,"","1744603200000",1
"北京","北京英嘉国际影城（金源CINITY店）","底层的珍珠 4K","4号4K激光CINITY巨幕厅","1745739600000","1745746020000","原版","2D","80.0",0,,"","1744603200000",1
