nameEn,nameTc,nameSc,performanceTime,duration,filmEventTypeId,stockLabel,facilityNameTc
"Bel Ami","漂亮朋友","漂亮朋友",1744886700000,"117 /分鐘",4,4,"英皇戲院 銅鑼灣 時代廣場2院"
"Beloved Tropic","兩忘花園裏","两忘花园裏",1744370100000,"108 /分鐘",0,1,"PREMIERE Elements 7院"
"Beloved Tropic","兩忘花園裏","两忘花园里",1744691400000,"108 /分鐘",0,1,"PREMIERE Elements 7院"
"Bird","迷上鳥","迷上鸟",1744784100000,"118 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Bird","迷上鳥","迷上鸟",1745243100000,"118 /分鐘",0,1,"PREMIERE Elements 7院"
"Birdsong","三王來朝","三王来朝",1744518600000,"92 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Birdsong","三王來朝","三王来朝",1744879500000,"92 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Black Ox","黑之牛","黑之牛",1744810200000,"114 /分鐘",0,4,"PREMIERE Elements 7院"
"Black Ox","黑之牛","黑之牛",1745036100000,"114 /分鐘",0,4,"PREMIERE Elements 7院"
"Blue Sun Palace","藍色太陽宮","蓝色太阳宫",1744870500000,"96 /分鐘",4,3,"PREMIERE Elements 1院"
"Blue Sun Palace","藍色太陽宮","蓝色太阳宫",1745215200000,"117 /分鐘",4,4,"PREMIERE Elements 1院"
"The Blue Trail","藍色安樂園","蓝色安乐园",1744984800000,"86 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"The Blue Trail","藍色安樂園","蓝色安乐园",1745149500000,"86 /分鐘",0,1,"PREMIERE Elements 1院"
"Bogancloch","家住悠悠天地間","家住悠悠天地间",1744691400000,"86 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Bogancloch","家住悠悠天地間","家住悠悠天地间",1744890300000,"86 /分鐘",0,1,"香港藝術中心古天樂電影院"
"Bona","邦娜","邦娜",1744518600000,"85 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"Bona","邦娜","邦娜",1745044200000,"85 /分鐘",0,1,"英皇戲院 銅鑼灣 時代廣場2院"
"The Botanist","植物學家","植物学家",1744958700000,"96 /分鐘",0,4,"PREMIERE Elements 1院"
"The Botanist","植物學家","植物学家",1745156700000,"96 /分鐘",0,4,"PREMIERE Elements 1院"
"The Brightest Sun","懺悔有時","忏悔有时",1744281900000,"129 /分鐘",0,2,"香港文化中心大劇院"
"The Brightest Sun","懺悔有時","忏悔有时",1744377300000,"129 /分鐘",0,2,"PREMIERE Elements 1院"
"Bullets Over Summer","爆裂刑警","爆裂刑警",1744432200000,"92 /分鐘",0,4,"香港藝術中心古天樂電影院"
"By the Stream","川流不息","川流不息",1744432200000,"111 /分鐘",0,4,"英皇戲院 銅鑼灣 時代廣場2院"
"By the Stream","川流不息","川流不息",1745053200000,"111 /分鐘",0,4,"PREMIERE Elements 7院"
"Cadet","軍校霸靈","军校霸灵",1744353000000,"123 /分鐘",0,1,"香港藝術中心古天樂電影院"
"Cadet","軍校霸靈","军校霸灵",1744638300000,"123 /分鐘",0,1,"PREMIERE Elements 7院"
"Carnival is Over","一個字頭的喪生","一个字头的丧生",1744465500000,"123 /分鐘",0,1,"PREMIERE Elements 7院"
"Carnival is Over","一個字頭的喪生","一个字头的丧生",1744804800000,"123 /分鐘",0,1,"WESTK M+戲院"
"Chain Reactions","德州電鋸嚇足半世紀","德州电锯吓足半世纪",1744535700000,"102 /分鐘",0,4,"英皇戲院 尖沙咀 iSQUARE 3院"
"Chain Reactions","德州電鋸嚇足半世紀","德州电锯吓足半世纪",1744724700000,"102 /分鐘",0,1,"香港藝術中心古天樂電影院"
"Compartment No.6","情留六號車廂","情留六号车厢",1744811100000,"107 /分鐘",0,4,"英皇戲院 銅鑼灣 時代廣場2院"
"Compartment No.6","情留六號車廂","情留六号车厢",1745153100000,"107 /分鐘",0,4,"WESTK M+戲院"
"Connected","保持通話","保持通话",1744871400000,"110 /分鐘",0,1,"WESTK M+戲院"
"The Damned","雪原孤軍","雪原孤军",1744461000000,"89 /分鐘",0,1,"WESTK M+戲院"
"The Damned","雪原孤軍","雪原孤军",1744616700000,"89 /分鐘",0,1,"英皇戲院 尖沙咀 iSQUARE 3院"
"The Devil Smokes","五個小孩的魔煙","五个小孩的魔烟",1744881300000,"97 /分鐘",0,1,"PREMIERE Elements 7院"
"The Devil Smokes","五個小孩的魔煙","五个小孩的魔烟",1745070300000,"97 /分鐘",0,1,"PREMIERE Elements 7院"
"Diciannove","十九歲少年與歐陸","十九岁少年与欧陆",1744697700000,"108 /分鐘",4,1,"PREMIERE Elements 1院"
"Diciannove","十九歲少年與歐陸","十九岁少年与欧陆",1745139600000,"108 /分鐘",4,1,"PREMIERE Elements 7院"
"Direct Action","綠色直接行動","绿色直接行动",1744459200000,"216 /分鐘",0,1,"香港藝術中心古天樂電影院"
"Direct Action","綠色直接行動","绿色直接行动",1744957800000,"216 /分鐘",0,1,"香港大會堂劇院"
"Dollhouse","娃鬼人形","娃鬼人形",1744723800000,"110 /分鐘",0,1,"PREMIERE Elements 1院"
"Dollhouse","娃鬼人形","娃鬼人形",1744896600000,"110 /分鐘",0,1,"香港文化中心大劇院"
"Dreams (Sex Love)","性愛夢之做夢","性爱梦之做梦",1745136000000,"110 /分鐘",0,4,"香港文化中心大劇院"
"Dreams (Sex Love)","性愛夢之做夢","性爱梦之做梦",1745234100000,"110 /分鐘",0,4,"PREMIERE Elements 1院"
"Drowning Dry","溺水兩家人","溺水两家人",1744354800000,"88 /分鐘",0,1,"PREMIERE Elements 7院"
"Drowning Dry","溺水兩家人","溺水两家人",1744535700000,"88 /分鐘",0,1,"香港藝術中心古天樂電影院"
"Drug War","毒戰","毒战",1744691400000,"106 /分鐘",4,4,"香港藝術中心古天樂電影院"
