group,id,name_cn,name_en,date,weekday,stime,etime,length,cinema,hallsName,director,country,resolution,color,show_type,remarks
单元,影片id,中文名,英文名,日期,星期几,开始时间,结束时间,片长,影院,影厅,导演,制片国家/地区,分辨率,色彩,场次类型,备注
SIFF动画,12599,乔西的虎与鱼,"JOSEE, THE TIGER AND THE FISH",6月11日,星期五,18:30,,99分钟,SFC上海影城,2号厅,田村耕太郎,日本,N/A,彩色,普通场,N/A
SIFF动画,12659,凯尔经的秘密,THE SECRET OF KELLS,6月11日,星期五,18:30,,79分钟,SFC上海影城,3号厅,汤姆·摩尔 / 诺拉·托梅,"爱尔兰,法国,比利时",N/A,彩色,普通场,N/A
SIFF动画,12598,海洋之歌,SONG OF THE SEA,6月11日,星期五,15:30,,94分钟,SFC上海影城,2号厅,汤姆·摩尔,"爱尔兰,丹麦,比利时",N/A,彩色,普通场,N/A
SIFF动画,14520,整容液,BEAUTY WATER,6月11日,星期五,20:50,,86分钟,上海世纪友谊影城,6号厅LUXE巨幕,赵庆勋,韩国,N/A,彩色,普通场,N/A
SIFF动画,13983,菲利斯之永夜岛历险记,FELIX AND THE TREASURE OF MORGAA,6月12日,星期六,13:00,,85分钟,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,尼科拉·勒迈,加拿大,N/A,彩色,普通场,N/A
SIFF动画,13323,亚卡里的奇妙之旅,"YAKARI, A SPECTACULAR JOURNEY",6月12日,星期六,13:00,,83分钟,嘉定影剧院,3号厅,泽维尔·贾科梅蒂 / 托比·格恩科尔,"法国,德国,比利时",N/A,彩色,普通场,N/A
SIFF动画,14044,巴比伦王冠,ESLUNA: THE CROWN OF BABYLON,6月12日,星期六,15:30,,118分钟,红星电影世界上海汶水路超级店,中国巨幕厅,丹佛·杰克逊,加拿大,N/A,彩色,普通场,N/A
SIFF动画,13751,乔西的虎与鱼,"JOSEE, THE TIGER AND THE FISH",6月13日,星期日,18:30,,99分钟,SFC上影影城（新衡山店）,1号厅,田村耕太郎,日本,N/A,彩色,普通场,N/A
SIFF动画,13391,诚实的奶牛,PUNYAKOTI,6月13日,星期日,18:30,,85分钟,SFC上影百联影城（大上海店）,1号厅,拉维尚卡尔·凡卡特斯瓦蓝,印度,N/A,彩色,普通场,N/A
SIFF动画,12608,亚卡里的奇妙之旅,"YAKARI, A SPECTACULAR JOURNEY",6月13日,星期日,10:45,,83分钟,SFC上海影城,2号厅,泽维尔·贾科梅蒂 / 托比·格恩科尔,"法国,德国,比利时",N/A,彩色,普通场,N/A
SIFF动画,13270,海洋之歌,SONG OF THE SEA,6月13日,星期日,15:30,,94分钟,上海米格影城,中国巨幕厅,汤姆·摩尔,"爱尔兰,丹麦,比利时",N/A,彩色,普通场,N/A
SIFF动画,12909,新世纪福音战士新剧场版：序,EVANGELION: 1.0 YOU ARE (NOT) ALONE.,6月13日,星期日,13:00,,101分钟,上海美琪大戏院,观众厅,"庵野秀明, 摩砂雪, 鹤卷和哉",日本,N/A,彩色,普通场,N/A
SIFF动画,12911,新世纪福音战士新剧场版：Q,EVANGELION: 3.0 YOU CAN (NOT) REDO.,6月13日,星期日,18:30,,96分钟,上海美琪大戏院,观众厅,"庵野秀明, 摩砂雪, 前田真宏, 鹤卷和哉",日本,N/A,彩色,普通场,N/A
SIFF动画,12910,新世纪福音战士新剧场版：破,EVANGELION: 2.0 YOU CAN (NOT) ADVANCE.,6月13日,星期日,15:30,,112分钟,上海美琪大戏院,观众厅,"庵野秀明, 摩砂雪, 鹤卷和哉",日本,N/A,彩色,普通场,N/A
