group,id,name_cn,name_en,date,weekday,stime,etime,length,cinema,hallsName,director,country,resolution,color,show_type,remarks
单元,影片id,中文名,英文名,日期,星期几,开始时间,结束时间,片长,影院,影厅,导演,制片国家/地区,分辨率,色彩,场次类型,备注
SIFF动画,16446,镜之孤城,LONELY CASTLE IN THE MIRROR,6月09日,星期五,13:00,,117分钟,FANCL艺术中心（艺海剧院）,大剧场,原惠一,日本,N/A,彩色,普通场,N/A
SIFF动画,16548,YUKU和喜马拉雅之花,YUKU AND THE HIMALAYAN FLOWER,6月09日,星期五,18:30,,66分钟,上海市沪北电影院,1号厅,"阿诺德·德穆林克, 雷米·杜林","比利时,法国,瑞士",N/A,N/A,普通场,N/A
SIFF动画,17982,寻梦环游记 (3D),COCO (3D),6月10日,星期六,15:30,,108分钟,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,"李·昂克里奇, 阿德里安·莫利纳","美国,日本",N/A,N/A,普通场,N/A
SIFF动画,18033,三个盗贼和狮子,THREE ROBBERS AND A LION,6月10日,星期六,18:30,,80分钟,上海百丽宫影城（LUXE协信店）,LUXE激光厅,拉斯姆斯·A·西韦特森,挪威,N/A,彩色,普通场,N/A
SIFF动画,17380,飞钟历险记,BIM,6月10日,星期六,10:30,,70分钟,上海百丽宫影城（环贸iapm店）,激光6号厅,汤姆·范·格斯特尔,比利时,N/A,彩色,普通场,N/A
SIFF动画,17333,心灵奇旅 (3D),SOUL (3D),6月10日,星期六,18:30,,102分钟,世纪友谊影城（LUXE南方商城店）,6号LUXE巨幕厅,"彼特·道格特, 坎普·鲍尔斯",美国,N/A,N/A,普通场,N/A
SIFF动画,16751,小猪哼唧,OINK,6月10日,星期六,13:00,,73分钟,博纳UA梅龙镇广场电影城,3号厅,玛莎·哈伯斯塔德,"荷兰,比利时",N/A,N/A,普通场,N/A
SIFF动画,18232,寻心之旅,JOURNEY TO YOURLAND,6月10日,星期六,15:30,,85分钟,嘉定影剧院,三号剧院大厅,彼得·布金斯基,"斯洛伐克,比利时,捷克",N/A,彩色,普通场,N/A
SIFF动画,17484,神奇的莫里斯 (4K),THE AMAZING MAURICE (4K),6月10日,星期六,20:40,,94分钟,橙天嘉禾影城（上海世纪汇CINITY店）,2号CINITY厅,托比·格恩科尔,"德国,英国",4K,彩色,普通场,N/A
SIFF动画,16833,禁忌世界,FORBIDDEN WORLD,6月10日,星期六,18:30,,96分钟,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,亚历山大·卡马戈 / 卡米拉·卡洛斯因,巴西,N/A,彩色,普通场,N/A
SIFF动画,16831,我祖父的恶魔,MY GRANDFATHER'S DEMONS,6月10日,星期六,13:00,,85分钟,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,努诺·贝托,葡萄牙,N/A,彩色,普通场,N/A
SIFF动画,17888,小猪哼唧,OINK,6月11日,星期日,18:30,,73分钟,AMG海上明珠影城环球港店,RealD 7号厅,玛莎·哈伯斯塔德,"荷兰,比利时",N/A,N/A,普通场,N/A
SIFF动画,17886,百变马丁-怪兽大作战,MARTIN MORNING THE MOVIE,6月11日,星期日,13:00,,88分钟,AMG海上明珠影城环球港店,RealD 7号厅,张天晓,中国,N/A,彩色,普通场,N/A
SIFF动画,16208,寻梦环游记 (3D),COCO (3D),6月11日,星期日,18:30,,108分钟,上海大光明电影院,2号厅,"李·昂克里奇, 阿德里安·莫利纳","美国,日本",N/A,N/A,普通场,N/A
SIFF动画,16938,神奇的莫里斯 (4K),THE AMAZING MAURICE (4K),6月11日,星期日,18:30,,94分钟,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,托比·格恩科尔,"德国,英国",4K,彩色,普通场,N/A
SIFF动画,17586,寻心之旅,JOURNEY TO YOURLAND,6月11日,星期日,13:00,,85分钟,上海百丽宫影城（陆家嘴中心店）,LUXE厅,彼得·布金斯基,"斯洛伐克,比利时,捷克",N/A,彩色,普通场,N/A
SIFF动画,17436,禁忌世界,FORBIDDEN WORLD,6月11日,星期日,13:00,,96分钟,上海科技影城,3号厅,亚历山大·卡马戈 / 卡米拉·卡洛斯因,巴西,N/A,彩色,普通场,N/A
SIFF动画,16706,飞钟历险记,BIM,6月11日,星期日,13:00,,70分钟,博纳UA梅龙镇广场电影城,2号全景声厅,汤姆·范·格斯特尔,比利时,N/A,彩色,普通场,N/A
SIFF动画,18237,镜之孤城,LONELY CASTLE IN THE MIRROR,6月11日,星期日,15:30,,117分钟,嘉定影剧院,三号剧院大厅,原惠一,日本,N/A,彩色,普通场,N/A
SIFF动画,16358,YUKU和喜马拉雅之花,YUKU AND THE HIMALAYAN FLOWER,6月11日,星期日,18:30,,66分钟,天山电影院-虹桥艺术中心旗舰店,4号厅,"阿诺德·德穆林克, 雷米·杜林","比利时,法国,瑞士",N/A,N/A,普通场,N/A
SIFF动画,18498,新世纪福音战士新剧场版：终,EVANGELION：3.0+1.0 THRICE UPON A TIME,6月11日,星期日,08:30,,155分钟,天山电影院-虹桥艺术中心旗舰店,剧院厅,庵野秀明,日本,N/A,彩色,普通场,N/A
SIFF动画,16836,心灵奇旅 (3D),SOUL (3D),6月11日,星期日,13:00,,102分钟,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,"彼特·道格特, 坎普·鲍尔斯",美国,N/A,N/A,普通场,N/A
SIFF动画,16213,百变马丁-怪兽大作战,MARTIN MORNING THE MOVIE,6月12日,星期一,18:30,,88分钟,上海大光明电影院,2号厅,张天晓,中国,N/A,彩色,普通场,N/A
SIFF动画,15999,新世纪福音战士新剧场版：终,EVANGELION：3.0+1.0 THRICE UPON A TIME,6月13日,星期二,13:00,,155分钟,SFC上海影城,1号厅杜比剧场,庵野秀明,日本,N/A,彩色,普通场,N/A
SIFF动画,17096,神奇的莫里斯 (4K),THE AMAZING MAURICE (4K),6月13日,星期二,13:00,,94分钟,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,托比·格恩科尔,"德国,英国",4K,彩色,普通场,N/A
SIFF动画,17398,百变马丁-怪兽大作战,MARTIN MORNING THE MOVIE,6月13日,星期二,18:30,,88分钟,上海百丽宫影城（环贸iapm店）,激光6号厅,张天晓,中国,N/A,彩色,见面场,N/A
SIFF动画,16522,新世纪福音战士新剧场版：终,EVANGELION：3.0+1.0 THRICE UPON A TIME,6月14日,星期三,15:30,,155分钟,天山电影院-宛平剧院影城,1号厅,庵野秀明,日本,N/A,彩色,普通场,N/A
SIFF动画,16425,镜之孤城,LONELY CASTLE IN THE MIRROR,6月15日,星期四,10:30,,117分钟,上海美琪大戏院,观众厅,原惠一,日本,N/A,彩色,普通场,N/A
SIFF动画,16961,镜之孤城,LONELY CASTLE IN THE MIRROR,6月16日,星期五,13:00,,117分钟,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,原惠一,日本,N/A,彩色,普通场,N/A
SIFF动画,16432,新世纪福音战士新剧场版：终,EVANGELION：3.0+1.0 THRICE UPON A TIME,6月16日,星期五,15:30,,155分钟,上海美琪大戏院,观众厅,庵野秀明,日本,N/A,彩色,普通场,N/A
SIFF动画,17863,我祖父的恶魔,MY GRANDFATHER'S DEMONS,6月16日,星期五,18:30,,85分钟,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,努诺·贝托,葡萄牙,N/A,彩色,普通场,N/A
SIFF动画,16783,琳达想吃鸡肉！,CHICKEN FOR LINDA!,6月16日,星期五,18:30,,77分钟,博纳UA梅龙镇广场电影城,3号厅,"基亚拉·梅尔特, 塞巴斯蒂安·劳德巴克","法国,意大利",N/A,彩色,普通场,N/A
SIFF动画,17716,寻心之旅,JOURNEY TO YOURLAND,6月17日,星期六,13:00,,85分钟,CGV影城（白玉兰广场IMAX店）,8号厅,彼得·布金斯基,"斯洛伐克,比利时,捷克",N/A,彩色,普通场,N/A
SIFF动画,17768,我祖父的恶魔,MY GRANDFATHER'S DEMONS,6月17日,星期六,18:30,,85分钟,CMG融媒影城,8号厅（杜比全景声CINITY）,努诺·贝托,葡萄牙,N/A,彩色,普通场,N/A
SIFF动画,17766,三个盗贼和狮子,THREE ROBBERS AND A LION,6月17日,星期六,13:00,,80分钟,CMG融媒影城,8号厅（杜比全景声CINITY）,拉斯姆斯·A·西韦特森,挪威,N/A,彩色,普通场,N/A
SIFF动画,17216,禁忌世界,FORBIDDEN WORLD,6月17日,星期六,13:00,,96分钟,SFC上影影城（美罗城店）,4号厅,亚历山大·卡马戈 / 卡米拉·卡洛斯因,巴西,N/A,彩色,普通场,N/A
SIFF动画,16916,小猪哼唧,OINK,6月17日,星期六,13:00,,73分钟,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,玛莎·哈伯斯塔德,"荷兰,比利时",N/A,N/A,普通场,N/A
SIFF动画,18118,神奇的莫里斯 (4K),THE AMAZING MAURICE (4K),6月17日,星期六,18:30,,94分钟,万达影城（宝山万达广场激光IMAX店）,10号厅,托比·格恩科尔,"德国,英国",4K,彩色,普通场,N/A
SIFF动画,18489,新世纪福音战士新剧场版：终,EVANGELION：3.0+1.0 THRICE UPON A TIME,6月17日,星期六,08:30,,155分钟,上海大光明电影院,1号厅,庵野秀明,日本,N/A,彩色,普通场,N/A
SIFF动画,17418,寻梦环游记 (3D),COCO (3D),6月17日,星期六,18:30,,108分钟,上海百丽宫影城（环贸iapm店）,激光6号厅,"李·昂克里奇, 阿德里安·莫利纳","美国,日本",N/A,N/A,普通场,N/A
SIFF动画,17268,YUKU和喜马拉雅之花,YUKU AND THE HIMALAYAN FLOWER,6月17日,星期六,18:30,,66分钟,朵云轩杜比全景声影城,1号厅,"阿诺德·德穆林克, 雷米·杜林","比利时,法国,瑞士",N/A,N/A,普通场,N/A
SIFF动画,17266,飞钟历险记,BIM,6月17日,星期六,13:00,,70分钟,朵云轩杜比全景声影城,1号厅,汤姆·范·格斯特尔,比利时,N/A,彩色,普通场,N/A
SIFF动画,17516,琳达想吃鸡肉！,CHICKEN FOR LINDA!,6月17日,星期六,13:00,,77分钟,橙天嘉禾影城（上海世纪汇CINITY店）,2号CINITY厅,"基亚拉·梅尔特, 塞巴斯蒂安·劳德巴克","法国,意大利",N/A,彩色,普通场,N/A
SIFF动画,17016,心灵奇旅 (3D),SOUL (3D),6月17日,星期六,13:00,,102分钟,黄浦剧场,中剧场,"彼特·道格特, 坎普·鲍尔斯",美国,N/A,N/A,普通场,N/A
SIFF动画,17971,我祖父的恶魔,MY GRANDFATHER'S DEMONS,6月18日,星期日,13:00,,85分钟,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,努诺·贝托,葡萄牙,N/A,彩色,普通场,N/A
SIFF动画,17973,琳达想吃鸡肉！,CHICKEN FOR LINDA!,6月18日,星期日,18:30,,77分钟,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,"基亚拉·梅尔特, 塞巴斯蒂安·劳德巴克","法国,意大利",N/A,彩色,普通场,N/A
SIFF动画,18123,心灵奇旅 (3D),SOUL (3D),6月18日,星期日,18:30,,102分钟,万达影城（宝山万达广场激光IMAX店）,10号厅,"彼特·道格特, 坎普·鲍尔斯",美国,N/A,N/A,普通场,N/A
SIFF动画,16242,YUKU和喜马拉雅之花,YUKU AND THE HIMALAYAN FLOWER,6月18日,星期日,15:30,,66分钟,上海大光明电影院,2号厅,"阿诺德·德穆林克, 雷米·杜林","比利时,法国,瑞士",N/A,N/A,普通场,N/A
SIFF动画,16293,寻心之旅,JOURNEY TO YOURLAND,6月18日,星期日,18:30,,85分钟,上海大光明电影院,3号厅,彼得·布金斯基,"斯洛伐克,比利时,捷克",N/A,彩色,普通场,N/A
SIFF动画,16292,禁忌世界,FORBIDDEN WORLD,6月18日,星期日,15:30,,96分钟,上海大光明电影院,3号厅,亚历山大·卡马戈 / 卡米拉·卡洛斯因,巴西,N/A,彩色,普通场,N/A
