group,id,name_cn,name_en,date,weekday,stime,etime,length,cinema,hallsName,director,country,resolution,color,show_type,remarks
单元,影片id,中文名,英文名,日期,星期几,开始时间,结束时间,片长,影院,影厅,导演,制片国家/地区,分辨率,色彩,场次类型,备注
SIFF短片,24358,国际真人短片精选集1,INTERNATIONAL LIVE ACTION SHORT FILM COLLECTION Ⅰ,6月22日,周日,18:30,,112分钟,寰映影城（久光中心店）,3号厅,"泰尔雅·佩特拉基, 朱丽叶·马雷科, 劳·查尔斯, 莫拉·帕索尼, 豪尔赫·迭伦·阿尔曼德, 阿古斯蒂纳·桑切斯·加维尔","希腊,德国,法国,墨西哥,巴西,加拿大,意大利,哥伦比亚",N/A,N/A,普通场,N/A
SIFF短片,24359,国际真人短片精选集2,INTERNATIONAL LIVE ACTION SHORT FILM COLLECTION Ⅱ,6月22日,周日,20:40,,86分钟,寰映影城（久光中心店）,3号厅,"雅各布·洛达尼·扬乔, 托赫·科马雷, 内兹·卡马尔, 安德烈斯·罗德里格斯, 安德烈·齐藤","匈牙利,奥地利,法国,英国,危地马拉,墨西哥,巴西",N/A,N/A,普通场,N/A
SIFF经典-4K 修复,23795,死之棘（4K）,THE STING OF DEATH (4K),6月13日,周五,20:40,,115分钟,上影BOE-α超级影城（美罗城店）,4号厅,小栗康平,日本,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22347,异邦人：无皇刃谭 (4K),SWORD OF THE STRANGER (4K),6月13日,周五,18:30,,102分钟,上海大光明电影院,1号厅,安藤真裕,日本,4K,N/A,普通场,N/A
SIFF经典-4K 修复,24586,琳达！琳达！琳达！(4K),LINDA LINDA LINDA (4K),6月13日,周五,18:00,,114分钟,久事·上海商城剧院,剧院正厅,山下敦弘,日本,4K,彩色,普通场,N/A
SIFF经典-4K 修复,23126,扶桑花女孩 (4K),HULA GIRLS (4K),6月13日,周五,15:30,,121分钟,兰心大戏院,观众厅,李相日,日本,4K,彩色,普通场,N/A
SIFF经典-4K 修复,22588,谋杀绿脚趾 (4K),THE BIG LEBOWSKI (4K),6月13日,周五,20:40,,117分钟,天山电影院-虹桥艺术中心旗舰店,剧院厅,"乔尔·科恩, 伊桑·科恩","美国,英国",4K,N/A,普通场,N/A
SIFF经典-4K 修复,22646,牧马人 (4K),THE HERDSMAN (4K),6月13日,周五,15:30,,99分钟,天山电影院-虹桥艺术中心旗舰店,4号厅,谢晋,中国,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22707,小河马雨果 (4K),HUGO THE HIPPO (4K),6月13日,周五,18:30,,91分钟,朵云轩杜比全景声影城,1号厅,"比尔·费根鲍姆, 约瑟夫·杰梅斯","匈牙利,美国",4K,彩色,普通场,N/A
SIFF经典-4K 修复,22766,柔肤 (4K),THE SOFT SKIN (4K),6月13日,周五,15:30,,118分钟,沪北电影院,1号厅,弗朗索瓦·特吕弗,法国,4K,N/A,普通场,N/A
SIFF经典-4K 修复,22765,日落大道 (4K),SUNSET BOULEVARD (4K),6月13日,周五,13:00,,110分钟,沪北电影院,1号厅,比利·怀尔德,美国,4K,黑白,普通场,N/A
SIFF经典-4K 修复,24543,巴里·林登 (4K),BARRY LYNDON (4K),6月14日,周六,09:00,,185分钟,上海大光明电影院,1号厅,斯坦利·库布里克,"英国,美国",4K,彩色,普通场,本片含一个15分钟的场间休息
SIFF经典-4K 修复,22352,日落大道 (4K),SUNSET BOULEVARD (4K),6月14日,周六,15:30,,110分钟,上海大光明电影院,1号厅,比利·怀尔德,美国,4K,黑白,普通场,N/A
SIFF经典-4K 修复,24551,琳达！琳达！琳达！(4K),LINDA LINDA LINDA (4K),6月14日,周六,10:00,,114分钟,上海影城SHO,1号厅杜比剧场,山下敦弘,日本,4K,彩色,普通场,N/A
SIFF经典-4K 修复,24137,禁忌的游戏 (4K),FORIBIDDEN GAMES (4K),6月14日,周六,18:30,,87分钟,上海百丽宫影城（陆家嘴中心店）,LUXE厅,雷内·克莱芒,法国,4K,N/A,普通场,N/A
